i_subj_all,i_subj_curr,olife_total,i_onset,i_ori,i_trial,contrast,correct
0,0,50,0,1,99,0.056699817612500002,1
0,0,50,0,1,100,0.038164703359599997,1
0,0,50,0,1,101,0.0513572450872,1
0,0,50,0,1,102,0.046518079493100002,0
0,0,50,0,1,103,0.027805203280499999,0
0,0,50,0,1,104,0.057833256898999999,1
0,0,50,0,1,105,0.054499144477200001,0
0,0,50,0,1,106,0.066427754231699998,1
0,0,50,0,1,107,0.041309110667700003,1
0,0,50,0,1,108,0.036683428093900003,0
0,0,50,0,1,109,0.063849513589500001,1
0,0,50,0,1,110,0.060168561352000001,0
0,0,50,0,1,111,0.073338076116699999,0
0,0,50,0,1,112,0.054499144477200001,0
0,0,50,0,1,113,0.100661947756,1
0,0,50,0,1,114,0.111133571682,1
0,0,50,0,1,115,0.092999663115800005,1
0,0,50,0,1,116,0.080967262414699995,1
0,0,50,0,1,117,0.084236717026200003,1
0,0,50,0,1,118,0.063849513589500001,1
0,0,50,0,1,119,0.047447984051000001,0
0,0,50,0,1,120,0.0778247041714,1
0,0,50,0,1,121,0.080967262414699995,1
0,0,50,0,1,122,0.071900767185400005,1
0,0,50,0,1,123,0.045606399576499999,1
0,0,50,0,1,124,0.043836291971699998,1
0,0,50,0,1,125,0.070491627209100002,1
0,0,50,0,1,126,0.067755656675299994,0
0,0,50,0,1,127,0.091177018543199997,1
0,0,50,0,1,128,0.087638192075799995,1
0,0,50,0,1,129,0.047447984051000001,1
0,0,50,0,1,130,0.0397057924575,1
0,0,50,0,1,131,0.042977170798899997,1
0,0,50,0,1,132,0.042134887026200003,0
0,0,50,0,1,133,0.035259645123999997,1
0,0,50,0,1,134,0.070491627209100002,1
0,0,50,0,1,135,0.031937285031400003,1
0,0,50,0,1,136,0.032575716953800002,1
0,0,50,0,1,137,0.026726008206200001,0
0,0,50,0,1,138,0.066427754231699998,1
0,0,50,0,1,139,0.0289279762059,0
0,0,50,0,1,140,0.034568612504399999,0
0,0,50,0,1,141,0.065125876550999995,1
0,0,50,0,1,142,0.031311365352999998,0
0,0,50,0,1,143,0.089390094887400004,1
0,0,50,0,1,144,0.048396477563900003,1
0,0,50,0,1,145,0.029506251517700002,0
0,0,50,0,1,146,0.035259645123999997,1
0,0,50,0,1,147,0.030697712698699999,0
0,0,50,0,1,148,0.050350725268800002,1
0,0,50,0,1,149,0.085920623755700004,1
0,0,50,0,1,150,0.050350725268800002,1
0,0,50,0,1,151,0.036683428093900003,0
0,0,50,0,1,152,0.049363931628300002,1
0,0,50,0,1,153,0.047447984051000001,0
0,0,50,0,1,154,0.0825858121739,1
0,0,50,0,1,155,0.042134887026200003,0
0,0,50,0,1,156,0.061371341433500003,1
